Date,Description,Amount,Type,Category
2024-07-04,Jio postpaid bill,509.09,DEBIT,Utilities
2024-07-05,HDFC Home Loan EMI,12500.00,DEBIT,Loan-Payments
2024-07-05,Amazon.in order,1364.04,DEBIT,Shopping
2024-07-05,IKEA Navi Mumbai,609.92,DEBIT,Shopping
2024-07-05,Behrouz Biryani,444.46,DEBIT,Take-out
2024-07-05,Cafe Coffee Day,492.72,DEBIT,Take-out
2024-07-05,Swiggy order,212.88,DEBIT,Take-out
2024-07-05,CityFlo monthly pass,155.11,DEBIT,Transport
2024-07-05,Ola Cabs,393.96,DEBIT,Transport
2024-07-05,Airtel Fibre broadband,466.34,DEBIT,Utilities
2024-07-05,MSEB electricity bill,659.07,DEBIT,Utilities
2024-07-06,More Supermarket,210.66,DEBIT,Groceries
2024-07-06,Nature's Basket,1006.27,DEBIT,Groceries
2024-07-06,Starbucks Powai,590.25,DEBIT,Take-out
2024-07-06,CityFlo monthly pass,372.21,DEBIT,Transport
2024-07-06,Airtel Fibre broadband,416.47,DEBIT,Utilities
2024-07-06,MSEB electricity bill,684.22,DEBIT,Utilities
2024-07-06,Airtel Fibre broadband,595.14,DEBIT,Utilities
2024-07-07,Nature's Basket,719.68,DEBIT,Groceries
2024-07-07,Nature's Basket,275.66,DEBIT,Groceries
2024-07-07,More Supermarket,766.22,DEBIT,Groceries
2024-07-07,Credit Card bill payment,6800.00,DEBIT,Loan-Payments
2024-07-07,Zomato order,422.22,DEBIT,Take-out
2024-07-07,Zomato order,323.32,DEBIT,Take-out
2024-07-07,Uber ride,261.05,DEBIT,Transport
2024-07-07,Ola Cabs,149.99,DEBIT,Transport
2024-07-08,PVR Cinemas,855.63,DEBIT,Entertainment
2024-07-08,Nature's Basket,533.28,DEBIT,Groceries
2024-07-08,BigBasket order,302.88,DEBIT,Groceries
2024-07-08,Myntra order,2199.95,DEBIT,Shopping
2024-07-08,Cafe Coffee Day,174.68,DEBIT,Take-out
2024-07-08,Dominos Pizza,362.53,DEBIT,Take-out
2024-07-08,Zomato order,221.65,DEBIT,Take-out
2024-07-08,Dominos Pizza,181.75,DEBIT,Take-out
2024-07-08,Mahanagar Gas bill,417.93,DEBIT,Utilities
2024-07-09,PVR Cinemas,493.20,DEBIT,Entertainment
2024-07-09,BigBasket order,470.32,DEBIT,Groceries
2024-07-09,Nature's Basket,560.53,DEBIT,Groceries
2024-07-09,Flipkart order,1117.54,DEBIT,Shopping
2024-07-09,Starbucks Powai,428.81,DEBIT,Take-out
2024-07-09,HP Petrol Pump,232.84,DEBIT,Transport
2024-07-09,Indian Oil fuel,56.28,DEBIT,Transport
2024-07-09,Jio postpaid bill,320.45,DEBIT,Utilities
2024-07-10,PVR Cinemas,675.32,DEBIT,Entertainment
2024-07-10,BookMyShow tickets,200.71,DEBIT,Entertainment
2024-07-10,BigBasket order,705.34,DEBIT,Groceries
2024-07-10,Flipkart order,2650.30,DEBIT,Shopping
2024-07-10,Myntra order,1091.14,DEBIT,Shopping
2024-07-10,Behrouz Biryani,287.47,DEBIT,Take-out
2024-07-10,Dominos Pizza,284.48,DEBIT,Take-out
2024-07-10,Dominos Pizza,450.04,DEBIT,Take-out
2024-07-10,Jio postpaid bill,633.59,DEBIT,Utilities
2024-07-11,Decathlon Powai,817.84,DEBIT,Shopping
2024-07-11,Swiggy order,211.87,DEBIT,Take-out
2024-07-11,Zomato order,141.41,DEBIT,Take-out
2024-07-11,Ola Cabs,127.45,DEBIT,Transport
2024-07-11,Jio postpaid bill,972.77,DEBIT,Utilities
2024-07-12,More Supermarket,452.12,DEBIT,Groceries
2024-07-12,IKEA Navi Mumbai,638.84,DEBIT,Shopping
2024-07-12,IKEA Navi Mumbai,1448.89,DEBIT,Shopping
2024-07-12,Starbucks Powai,508.14,DEBIT,Take-out
2024-07-12,Ola Cabs,264.15,DEBIT,Transport
2024-07-12,MSEB electricity bill,445.11,DEBIT,Utilities
2024-07-13,Spotify Premium,783.69,DEBIT,Entertainment
2024-07-13,Steam games purchase,464.57,DEBIT,Entertainment
2024-07-13,More Supermarket,570.40,DEBIT,Groceries
2024-07-13,Cafe Coffee Day,544.29,DEBIT,Take-out
2024-07-13,Behrouz Biryani,384.22,DEBIT,Take-out
2024-07-13,Behrouz Biryani,327.04,DEBIT,Take-out
2024-07-13,Indian Oil fuel,320.86,DEBIT,Transport
2024-07-13,Airtel Fibre broadband,784.27,DEBIT,Utilities
2024-07-13,MSEB electricity bill,511.83,DEBIT,Utilities
2024-07-14,BigBasket order,283.29,DEBIT,Groceries
2024-07-14,DMart Andheri West,456.07,DEBIT,Groceries
2024-07-14,DMart Andheri West,813.91,DEBIT,Groceries
2024-07-14,Starbucks Powai,490.00,DEBIT,Take-out
2024-07-14,Dominos Pizza,519.70,DEBIT,Take-out
2024-07-14,CityFlo monthly pass,416.10,DEBIT,Transport
2024-07-14,CityFlo monthly pass,202.32,DEBIT,Transport
2024-07-14,Airtel Fibre broadband,437.38,DEBIT,Utilities
2024-07-14,Mahanagar Gas bill,291.03,DEBIT,Utilities
2024-07-15,Spotify Premium,489.52,DEBIT,Entertainment
2024-07-15,Steam games purchase,244.01,DEBIT,Entertainment
2024-07-15,Reliance Fresh,594.52,DEBIT,Groceries
2024-07-15,Reliance Fresh,481.43,DEBIT,Groceries
2024-07-15,Flipkart order,615.19,DEBIT,Shopping
2024-07-15,Amazon.in order,2154.61,DEBIT,Shopping
2024-07-15,Behrouz Biryani,247.92,DEBIT,Take-out
2024-07-16,BigBasket order,689.43,DEBIT,Groceries
2024-07-16,More Supermarket,288.78,DEBIT,Groceries
2024-07-16,More Supermarket,554.72,DEBIT,Groceries
2024-07-16,Starbucks Powai,190.89,DEBIT,Take-out
2024-07-16,Behrouz Biryani,422.08,DEBIT,Take-out
2024-07-17,BookMyShow tickets,458.86,DEBIT,Entertainment
2024-07-17,Nature's Basket,364.15,DEBIT,Groceries
2024-07-17,Reliance Fresh,611.41,DEBIT,Groceries
2024-07-17,Flipkart order,1036.96,DEBIT,Shopping
2024-07-17,CityFlo monthly pass,210.00,DEBIT,Transport
2024-07-17,Indian Oil fuel,311.91,DEBIT,Transport
2024-07-17,HP Petrol Pump,312.94,DEBIT,Transport
2024-07-17,Jio postpaid bill,269.11,DEBIT,Utilities
2024-07-18,Fresh Fruits & Veg Co.,385.42,DEBIT,Groceries
2024-07-18,More Supermarket,814.57,DEBIT,Groceries
2024-07-18,More Supermarket,442.63,DEBIT,Groceries
2024-07-18,Croma Electronics,2734.08,DEBIT,Shopping
2024-07-18,Amazon.in order,459.16,DEBIT,Shopping
2024-07-18,Swiggy order,216.56,DEBIT,Take-out
2024-07-18,Ola Cabs,210.49,DEBIT,Transport
2024-07-19,BookMyShow tickets,474.67,DEBIT,Entertainment
2024-07-19,DMart Andheri West,824.65,DEBIT,Groceries
2024-07-19,Zomato order,433.65,DEBIT,Take-out
2024-07-19,CityFlo monthly pass,252.93,DEBIT,Transport
2024-07-19,Mumbai Metro recharge,182.16,DEBIT,Transport
2024-07-19,Water tax payment,474.39,DEBIT,Utilities
2024-07-19,Water tax payment,330.58,DEBIT,Utilities
2024-07-19,Mahanagar Gas bill,198.42,DEBIT,Utilities
2024-07-20,BigBasket order,399.77,DEBIT,Groceries
2024-07-20,Fresh Fruits & Veg Co.,234.45,DEBIT,Groceries
2024-07-20,Zomato order,89.83,DEBIT,Take-out
2024-07-20,Zomato order,382.96,DEBIT,Take-out
2024-07-20,Behrouz Biryani,521.60,DEBIT,Take-out
2024-07-20,Jio postpaid bill,857.96,DEBIT,Utilities
2024-07-20,Jio postpaid bill,410.46,DEBIT,Utilities
2024-07-21,Amazon.in order,1346.01,DEBIT,Shopping
2024-07-21,Flipkart order,577.87,DEBIT,Shopping
2024-07-21,Ola Cabs,198.21,DEBIT,Transport
2024-07-21,Mumbai Metro recharge,329.31,DEBIT,Transport
2024-07-21,CityFlo monthly pass,193.52,DEBIT,Transport
2024-07-21,MSEB electricity bill,284.87,DEBIT,Utilities
2024-07-22,Nature's Basket,867.34,DEBIT,Groceries
2024-07-22,Fresh Fruits & Veg Co.,696.46,DEBIT,Groceries
2024-07-22,Amazon.in order,2529.71,DEBIT,Shopping
2024-07-22,Behrouz Biryani,389.05,DEBIT,Take-out
2024-07-22,Cafe Coffee Day,149.27,DEBIT,Take-out
2024-07-22,Ola Cabs,178.44,DEBIT,Transport
2024-07-22,Uber ride,191.88,DEBIT,Transport
2024-07-22,Ola Cabs,310.08,DEBIT,Transport
2024-07-23,BookMyShow tickets,576.62,DEBIT,Entertainment
2024-07-23,DMart Andheri West,414.19,DEBIT,Groceries
2024-07-23,More Supermarket,483.65,DEBIT,Groceries
2024-07-23,More Supermarket,732.40,DEBIT,Groceries
2024-07-23,Myntra order,619.36,DEBIT,Shopping
2024-07-23,CityFlo monthly pass,256.55,DEBIT,Transport
2024-07-23,Mumbai Metro recharge,254.32,DEBIT,Transport
2024-07-23,Water tax payment,264.98,DEBIT,Utilities
2024-07-24,Steam games purchase,223.44,DEBIT,Entertainment
2024-07-24,Fresh Fruits & Veg Co.,468.53,DEBIT,Groceries
2024-07-24,Swiggy order,174.98,DEBIT,Take-out
2024-07-24,Mahanagar Gas bill,799.98,DEBIT,Utilities
2024-07-24,Water tax payment,389.50,DEBIT,Utilities
2024-07-25,Nature's Basket,690.62,DEBIT,Groceries
2024-07-25,More Supermarket,422.51,DEBIT,Groceries
2024-07-25,Flipkart order,832.77,DEBIT,Shopping
2024-07-25,Dominos Pizza,138.82,DEBIT,Take-out
2024-07-25,Swiggy order,148.47,DEBIT,Take-out
2024-07-25,Uber ride,124.10,DEBIT,Transport
2024-07-26,Steam games purchase,204.21,DEBIT,Entertainment
2024-07-26,DMart Andheri West,657.65,DEBIT,Groceries
2024-07-26,Reliance Fresh,388.53,DEBIT,Groceries
2024-07-26,IKEA Navi Mumbai,1675.95,DEBIT,Shopping
2024-07-26,Mahanagar Gas bill,747.95,DEBIT,Utilities
2024-07-27,DMart Andheri West,311.57,DEBIT,Groceries
2024-07-27,DMart Andheri West,395.13,DEBIT,Groceries
2024-07-27,Fresh Fruits & Veg Co.,940.23,DEBIT,Groceries
2024-07-27,Croma Electronics,1066.55,DEBIT,Shopping
2024-07-27,HP Petrol Pump,133.83,DEBIT,Transport
2024-07-27,Ola Cabs,303.71,DEBIT,Transport
2024-07-28,Reliance Fresh,240.43,DEBIT,Groceries
2024-07-28,Myntra order,751.19,DEBIT,Shopping
2024-07-28,Behrouz Biryani,346.84,DEBIT,Take-out
2024-07-28,Mumbai Metro recharge,168.97,DEBIT,Transport
2024-07-28,Mumbai Metro recharge,453.15,DEBIT,Transport
2024-07-28,HP Petrol Pump,234.49,DEBIT,Transport
2024-07-28,Mumbai Metro recharge,211.03,DEBIT,Transport
2024-07-28,Airtel Fibre broadband,302.18,DEBIT,Utilities
2024-07-29,Steam games purchase,306.27,DEBIT,Entertainment
2024-07-29,BigBasket order,579.89,DEBIT,Groceries
2024-07-29,Nature's Basket,628.26,DEBIT,Groceries
2024-07-29,DMart Andheri West,398.46,DEBIT,Groceries
2024-07-29,Fresh Fruits & Veg Co.,795.86,DEBIT,Groceries
2024-07-29,Zomato order,516.45,DEBIT,Take-out
2024-07-29,Behrouz Biryani,347.89,DEBIT,Take-out
2024-07-29,Ola Cabs,331.79,DEBIT,Transport
2024-07-29,HP Petrol Pump,167.93,DEBIT,Transport
2024-07-30,More Supermarket,400.01,DEBIT,Groceries
2024-07-30,DMart Andheri West,632.68,DEBIT,Groceries
2024-07-30,Swiggy order,331.33,DEBIT,Take-out
2024-07-30,Starbucks Powai,345.13,DEBIT,Take-out
2024-07-30,Behrouz Biryani,240.76,DEBIT,Take-out
2024-07-30,Mahanagar Gas bill,635.27,DEBIT,Utilities
2024-07-31,Netflix subscription,398.50,DEBIT,Entertainment
2024-07-31,BigBasket order,519.99,DEBIT,Groceries
2024-07-31,BigBasket order,308.20,DEBIT,Groceries
2024-07-31,Salary credited from Cyphersol Technologies,172000.00,CREDIT,Salary
2024-07-31,Flipkart order,533.32,DEBIT,Shopping
2024-07-31,Ola Cabs,180.14,DEBIT,Transport
2024-07-31,MSEB electricity bill,931.07,DEBIT,Utilities
2024-07-31,MSEB electricity bill,318.87,DEBIT,Utilities
2024-08-01,Netflix subscription,588.75,DEBIT,Entertainment
2024-08-01,Fresh Fruits & Veg Co.,570.24,DEBIT,Groceries
2024-08-01,Fresh Fruits & Veg Co.,434.31,DEBIT,Groceries
2024-08-01,Fresh Fruits & Veg Co.,325.42,DEBIT,Groceries
2024-08-01,Nature's Basket,666.02,DEBIT,Groceries
2024-08-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2024-08-01,Croma Electronics,962.12,DEBIT,Shopping
2024-08-01,Croma Electronics,880.08,DEBIT,Shopping
2024-08-01,Decathlon Powai,1064.24,DEBIT,Shopping
2024-08-02,Fresh Fruits & Veg Co.,352.51,DEBIT,Groceries
2024-08-02,Fresh Fruits & Veg Co.,364.50,DEBIT,Groceries
2024-08-02,IKEA Navi Mumbai,1815.48,DEBIT,Shopping
2024-08-02,Dominos Pizza,268.35,DEBIT,Take-out
2024-08-02,Water tax payment,428.62,DEBIT,Utilities
2024-08-03,Nature's Basket,802.01,DEBIT,Groceries
2024-08-03,BigBasket order,521.93,DEBIT,Groceries
2024-08-03,Reliance Fresh,378.81,DEBIT,Groceries
2024-08-03,Dominos Pizza,94.48,DEBIT,Take-out
2024-08-03,Cafe Coffee Day,263.19,DEBIT,Take-out
2024-08-03,Mumbai Metro recharge,171.11,DEBIT,Transport
2024-08-03,Mumbai Metro recharge,305.13,DEBIT,Transport
2024-08-03,Airtel Fibre broadband,623.26,DEBIT,Utilities
2024-08-03,Water tax payment,567.16,DEBIT,Utilities
2024-08-04,Steam games purchase,548.29,DEBIT,Entertainment
2024-08-04,BigBasket order,406.51,DEBIT,Groceries
2024-08-04,Fresh Fruits & Veg Co.,620.15,DEBIT,Groceries
2024-08-04,Cafe Coffee Day,166.53,DEBIT,Take-out
2024-08-04,Zomato order,322.04,DEBIT,Take-out
2024-08-04,Swiggy order,291.82,DEBIT,Take-out
2024-08-04,Indian Oil fuel,219.33,DEBIT,Transport
2024-08-04,Mumbai Metro recharge,74.66,DEBIT,Transport
2024-08-04,Airtel Fibre broadband,871.38,DEBIT,Utilities
2024-08-05,DMart Andheri West,640.00,DEBIT,Groceries
2024-08-05,DMart Andheri West,740.33,DEBIT,Groceries
2024-08-05,BigBasket order,746.07,DEBIT,Groceries
2024-08-05,HDFC Home Loan EMI,12500.00,DEBIT,Loan-Payments
2024-08-05,Swiggy order,341.72,DEBIT,Take-out
2024-08-05,Starbucks Powai,297.01,DEBIT,Take-out
2024-08-05,Starbucks Powai,221.15,DEBIT,Take-out
2024-08-05,Uber ride,433.93,DEBIT,Transport
2024-08-05,MSEB electricity bill,656.59,DEBIT,Utilities
2024-08-05,Mahanagar Gas bill,378.27,DEBIT,Utilities
2024-08-06,More Supermarket,393.15,DEBIT,Groceries
2024-08-06,BigBasket order,725.94,DEBIT,Groceries
2024-08-06,Myntra order,574.55,DEBIT,Shopping
2024-08-06,Cafe Coffee Day,342.27,DEBIT,Take-out
2024-08-06,Ola Cabs,91.09,DEBIT,Transport
2024-08-07,Spotify Premium,72.21,DEBIT,Entertainment
2024-08-07,DMart Andheri West,956.70,DEBIT,Groceries
2024-08-07,BigBasket order,718.98,DEBIT,Groceries
2024-08-07,Credit Card bill payment,6800.00,DEBIT,Loan-Payments
2024-08-07,Myntra order,762.67,DEBIT,Shopping
2024-08-07,Cafe Coffee Day,185.44,DEBIT,Take-out
2024-08-07,Dominos Pizza,374.89,DEBIT,Take-out
2024-08-07,Mumbai Metro recharge,160.60,DEBIT,Transport
2024-08-07,MSEB electricity bill,493.03,DEBIT,Utilities
2024-08-07,Water tax payment,490.17,DEBIT,Utilities
2024-08-08,BigBasket order,458.01,DEBIT,Groceries
2024-08-08,More Supermarket,887.96,DEBIT,Groceries
2024-08-08,Refund from Amazon.in,2587.00,CREDIT,Refund
2024-08-08,CityFlo monthly pass,171.51,DEBIT,Transport
2024-08-08,Indian Oil fuel,132.01,DEBIT,Transport
2024-08-08,Mumbai Metro recharge,342.59,DEBIT,Transport
2024-08-08,Water tax payment,810.51,DEBIT,Utilities
2024-08-08,Airtel Fibre broadband,410.29,DEBIT,Utilities
2024-08-09,PVR Cinemas,179.37,DEBIT,Entertainment
2024-08-09,Fresh Fruits & Veg Co.,168.30,DEBIT,Groceries
2024-08-09,Reliance Fresh,1004.00,DEBIT,Groceries
2024-08-09,More Supermarket,532.36,DEBIT,Groceries
2024-08-09,Decathlon Powai,1139.92,DEBIT,Shopping
2024-08-09,Behrouz Biryani,180.35,DEBIT,Take-out
2024-08-09,Water tax payment,457.20,DEBIT,Utilities
2024-08-10,BookMyShow tickets,214.09,DEBIT,Entertainment
2024-08-10,DMart Andheri West,711.95,DEBIT,Groceries
2024-08-10,IKEA Navi Mumbai,863.25,DEBIT,Shopping
2024-08-10,IKEA Navi Mumbai,639.30,DEBIT,Shopping
2024-08-10,Zomato order,326.65,DEBIT,Take-out
2024-08-10,Ola Cabs,93.55,DEBIT,Transport
2024-08-10,HP Petrol Pump,310.53,DEBIT,Transport
2024-08-10,Jio postpaid bill,865.94,DEBIT,Utilities
2024-08-11,Fresh Fruits & Veg Co.,524.99,DEBIT,Groceries
2024-08-11,Dominos Pizza,561.27,DEBIT,Take-out
2024-08-11,Uber ride,274.93,DEBIT,Transport
2024-08-11,HP Petrol Pump,492.70,DEBIT,Transport
2024-08-11,Mahanagar Gas bill,614.38,DEBIT,Utilities
2024-08-12,Fresh Fruits & Veg Co.,599.03,DEBIT,Groceries
2024-08-12,Reliance Fresh,810.53,DEBIT,Groceries
2024-08-12,Cafe Coffee Day,288.74,DEBIT,Take-out
2024-08-12,Starbucks Powai,160.89,DEBIT,Take-out
2024-08-12,Uber ride,307.92,DEBIT,Transport
2024-08-12,Airtel Fibre broadband,415.05,DEBIT,Utilities
2024-08-13,BigBasket order,517.13,DEBIT,Groceries
2024-08-13,Nature's Basket,363.73,DEBIT,Groceries
2024-08-13,Nature's Basket,839.23,DEBIT,Groceries
2024-08-13,Croma Electronics,1226.33,DEBIT,Shopping
2024-08-13,HP Petrol Pump,438.63,DEBIT,Transport
2024-08-14,BookMyShow tickets,216.60,DEBIT,Entertainment
2024-08-14,IKEA Navi Mumbai,541.83,DEBIT,Shopping
2024-08-14,IKEA Navi Mumbai,2006.52,DEBIT,Shopping
2024-08-14,Cafe Coffee Day,211.88,DEBIT,Take-out
2024-08-14,Zomato order,130.67,DEBIT,Take-out
2024-08-14,CityFlo monthly pass,128.42,DEBIT,Transport
2024-08-15,Nature's Basket,417.94,DEBIT,Groceries
2024-08-15,Nature's Basket,819.34,DEBIT,Groceries
2024-08-15,Dominos Pizza,355.24,DEBIT,Take-out
2024-08-15,Dominos Pizza,478.88,DEBIT,Take-out
2024-08-15,Jio postpaid bill,753.64,DEBIT,Utilities
2024-08-16,Reliance Fresh,581.19,DEBIT,Groceries
2024-08-16,Cafe Coffee Day,404.38,DEBIT,Take-out
2024-08-16,Zomato order,568.42,DEBIT,Take-out
2024-08-16,Ola Cabs,337.20,DEBIT,Transport
2024-08-16,CityFlo monthly pass,374.60,DEBIT,Transport
2024-08-16,Mahanagar Gas bill,487.60,DEBIT,Utilities
2024-08-17,PVR Cinemas,291.01,DEBIT,Entertainment
2024-08-17,Netflix subscription,159.45,DEBIT,Entertainment
2024-08-17,Reliance Fresh,349.99,DEBIT,Groceries
2024-08-17,Reliance Fresh,482.14,DEBIT,Groceries
2024-08-17,Dominos Pizza,229.90,DEBIT,Take-out
2024-08-17,Cafe Coffee Day,90.30,DEBIT,Take-out
2024-08-17,Zomato order,600.01,DEBIT,Take-out
2024-08-17,Indian Oil fuel,272.75,DEBIT,Transport
2024-08-18,IKEA Navi Mumbai,678.77,DEBIT,Shopping
2024-08-18,Mumbai Metro recharge,193.02,DEBIT,Transport
2024-08-18,CityFlo monthly pass,150.63,DEBIT,Transport
2024-08-18,Water tax payment,420.02,DEBIT,Utilities
2024-08-18,MSEB electricity bill,526.82,DEBIT,Utilities
2024-08-19,BigBasket order,736.77,DEBIT,Groceries
2024-08-19,IKEA Navi Mumbai,1182.08,DEBIT,Shopping
2024-08-19,Myntra order,857.69,DEBIT,Shopping
2024-08-19,Behrouz Biryani,419.37,DEBIT,Take-out
2024-08-19,Jio postpaid bill,375.22,DEBIT,Utilities
2024-08-20,BookMyShow tickets,289.21,DEBIT,Entertainment
2024-08-20,Spotify Premium,950.98,DEBIT,Entertainment
2024-08-20,Fresh Fruits & Veg Co.,434.01,DEBIT,Groceries
2024-08-20,Nature's Basket,662.01,DEBIT,Groceries
2024-08-20,Reliance Fresh,473.82,DEBIT,Groceries
2024-08-20,Flipkart order,1188.21,DEBIT,Shopping
2024-08-20,Zomato order,226.75,DEBIT,Take-out
2024-08-20,Behrouz Biryani,248.44,DEBIT,Take-out
2024-08-20,CityFlo monthly pass,110.31,DEBIT,Transport
2024-08-21,PVR Cinemas,459.75,DEBIT,Entertainment
2024-08-21,More Supermarket,538.41,DEBIT,Groceries
2024-08-21,Fresh Fruits & Veg Co.,331.46,DEBIT,Groceries
2024-08-21,Reliance Fresh,367.31,DEBIT,Groceries
2024-08-21,Indian Oil fuel,233.14,DEBIT,Transport
2024-08-21,Airtel Fibre broadband,377.52,DEBIT,Utilities
2024-08-22,Netflix subscription,252.85,DEBIT,Entertainment
2024-08-22,DMart Andheri West,218.92,DEBIT,Groceries
2024-08-22,Myntra order,1507.32,DEBIT,Shopping
2024-08-22,Mumbai Metro recharge,240.99,DEBIT,Transport
2024-08-22,HP Petrol Pump,176.40,DEBIT,Transport
2024-08-22,Airtel Fibre broadband,841.62,DEBIT,Utilities
2024-08-23,Spotify Premium,259.14,DEBIT,Entertainment
2024-08-23,DMart Andheri West,285.66,DEBIT,Groceries
2024-08-23,More Supermarket,763.57,DEBIT,Groceries
2024-08-23,CityFlo monthly pass,90.57,DEBIT,Transport
2024-08-23,Indian Oil fuel,324.84,DEBIT,Transport
2024-08-24,PVR Cinemas,280.44,DEBIT,Entertainment
2024-08-24,BigBasket order,467.38,DEBIT,Groceries
2024-08-24,BigBasket order,429.93,DEBIT,Groceries
2024-08-24,More Supermarket,580.67,DEBIT,Groceries
2024-08-24,Flipkart order,1251.71,DEBIT,Shopping
2024-08-24,Decathlon Powai,2230.32,DEBIT,Shopping
2024-08-24,Indian Oil fuel,423.86,DEBIT,Transport
2024-08-24,Mumbai Metro recharge,381.15,DEBIT,Transport
2024-08-24,CityFlo monthly pass,112.76,DEBIT,Transport
2024-08-25,Spotify Premium,520.09,DEBIT,Entertainment
2024-08-25,Nature's Basket,487.88,DEBIT,Groceries
2024-08-25,Dominos Pizza,181.97,DEBIT,Take-out
2024-08-25,Ola Cabs,506.10,DEBIT,Transport
2024-08-25,Ola Cabs,128.93,DEBIT,Transport
2024-08-25,Uber ride,209.39,DEBIT,Transport
2024-08-26,Steam games purchase,263.84,DEBIT,Entertainment
2024-08-26,Reliance Fresh,516.13,DEBIT,Groceries
2024-08-26,Croma Electronics,1046.18,DEBIT,Shopping
2024-08-26,Swiggy order,232.78,DEBIT,Take-out
2024-08-26,Cafe Coffee Day,335.29,DEBIT,Take-out
2024-08-26,Airtel Fibre broadband,708.11,DEBIT,Utilities
2024-08-27,BookMyShow tickets,518.72,DEBIT,Entertainment
2024-08-27,Flipkart order,1717.72,DEBIT,Shopping
2024-08-27,Flipkart order,1726.60,DEBIT,Shopping
2024-08-27,Myntra order,1499.87,DEBIT,Shopping
2024-08-27,Zomato order,450.27,DEBIT,Take-out
2024-08-27,Behrouz Biryani,321.76,DEBIT,Take-out
2024-08-27,HP Petrol Pump,275.21,DEBIT,Transport
2024-08-28,More Supermarket,156.18,DEBIT,Groceries
2024-08-28,Croma Electronics,1213.86,DEBIT,Shopping
2024-08-28,Behrouz Biryani,259.55,DEBIT,Take-out
2024-08-28,Starbucks Powai,370.33,DEBIT,Take-out
2024-08-28,Ola Cabs,217.67,DEBIT,Transport
2024-08-28,HP Petrol Pump,168.23,DEBIT,Transport
2024-08-28,Uber ride,85.67,DEBIT,Transport
2024-08-28,Mahanagar Gas bill,411.26,DEBIT,Utilities
2024-08-29,BigBasket order,204.41,DEBIT,Groceries
2024-08-29,Nature's Basket,339.04,DEBIT,Groceries
2024-08-29,Nature's Basket,411.64,DEBIT,Groceries
2024-08-29,Nature's Basket,835.20,DEBIT,Groceries
2024-08-29,Behrouz Biryani,550.77,DEBIT,Take-out
2024-08-29,Ola Cabs,106.03,DEBIT,Transport
2024-08-29,Uber ride,433.57,DEBIT,Transport
2024-08-29,Jio postpaid bill,557.25,DEBIT,Utilities
2024-08-29,Jio postpaid bill,646.03,DEBIT,Utilities
2024-08-30,Netflix subscription,260.87,DEBIT,Entertainment
2024-08-30,PVR Cinemas,712.23,DEBIT,Entertainment
2024-08-30,PVR Cinemas,161.41,DEBIT,Entertainment
2024-08-30,BookMyShow tickets,566.71,DEBIT,Entertainment
2024-08-30,Reliance Fresh,881.99,DEBIT,Groceries
2024-08-30,Flipkart order,664.97,DEBIT,Shopping
2024-08-30,Starbucks Powai,106.09,DEBIT,Take-out
2024-08-30,HP Petrol Pump,155.79,DEBIT,Transport
2024-08-30,CityFlo monthly pass,311.47,DEBIT,Transport
2024-08-31,PVR Cinemas,234.95,DEBIT,Entertainment
2024-08-31,Fresh Fruits & Veg Co.,950.50,DEBIT,Groceries
2024-08-31,DMart Andheri West,596.76,DEBIT,Groceries
2024-08-31,Salary credited from Cyphersol Technologies,172000.00,CREDIT,Salary
2024-08-31,Cafe Coffee Day,369.10,DEBIT,Take-out
2024-08-31,Swiggy order,612.31,DEBIT,Take-out
2024-08-31,Zomato order,346.69,DEBIT,Take-out
2024-08-31,MSEB electricity bill,762.69,DEBIT,Utilities
2024-08-31,Water tax payment,542.63,DEBIT,Utilities
2024-09-01,Spotify Premium,683.20,DEBIT,Entertainment
2024-09-01,Netflix subscription,158.17,DEBIT,Entertainment
2024-09-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2024-09-01,Myntra order,948.75,DEBIT,Shopping
2024-09-01,IKEA Navi Mumbai,1068.54,DEBIT,Shopping
2024-09-01,Decathlon Powai,1023.36,DEBIT,Shopping
2024-09-01,CityFlo monthly pass,515.85,DEBIT,Transport
2024-09-02,Steam games purchase,203.42,DEBIT,Entertainment
2024-09-02,BookMyShow tickets,423.83,DEBIT,Entertainment
2024-09-02,BigBasket order,314.20,DEBIT,Groceries
2024-09-02,Amazon.in order,657.93,DEBIT,Shopping
2024-09-02,Behrouz Biryani,271.09,DEBIT,Take-out
2024-09-02,Indian Oil fuel,429.76,DEBIT,Transport
2024-09-02,Mumbai Metro recharge,264.57,DEBIT,Transport
2024-09-02,Jio postpaid bill,530.47,DEBIT,Utilities
2024-09-02,Mahanagar Gas bill,277.89,DEBIT,Utilities
2024-09-03,PVR Cinemas,409.38,DEBIT,Entertainment
2024-09-03,BigBasket order,531.43,DEBIT,Groceries
2024-09-03,Myntra order,800.47,DEBIT,Shopping
2024-09-03,Zomato order,365.54,DEBIT,Take-out
2024-09-03,Cafe Coffee Day,322.13,DEBIT,Take-out
2024-09-04,Fresh Fruits & Veg Co.,497.49,DEBIT,Groceries
2024-09-04,Flipkart order,1212.51,DEBIT,Shopping
2024-09-04,Decathlon Powai,1265.93,DEBIT,Shopping
2024-09-04,Swiggy order,193.07,DEBIT,Take-out
2024-09-04,Starbucks Powai,316.87,DEBIT,Take-out
2024-09-04,MSEB electricity bill,801.55,DEBIT,Utilities
2024-09-05,Steam games purchase,868.31,DEBIT,Entertainment
